credits_2d_artist;2D mûvész
credits_promos_monetization_specialist;Promos & Monetization specialista
credits_qa;Minôségbiztosítás
credits_qa_analyst;Minôségbiztosítás elemzô
credits_qa_automation_engineer;Minôségbiztosítás Automation Engineer
credits_qa_compliance_specialist;Minôségbiztosítás Compliance specialista
credits_qa_coordinator;Minôségbiztosítás koordinátor
credits_qa_director;Minôségbiztosítás Director
credits_qa_engineer;Minôségbiztosítás Engineer
credits_qa_lab_manager;Minôségbiztosítás Lab menedzser
credits_qa_lead;Minôségbiztosítás vezetô
credits_qa_localization_tester;Minôségbiztosítás Localization Tester
credits_qa_manager;Minôségbiztosítás menedzser
credits_qa_project_lead;Minôségbiztosítási projektvezetô
credits_qa_project_manager;Minôségbiztosítás Project menedzser
credits_qa_team_leader;Minôségbiztosítás csoportvezetô
credits_qa_tester;Minôségbiztosítás tesztelô
credits_qa_tests_coordinator;Minôségbiztosítás Tests koordinátor
credits_quest_designer;Quest Designer
credits_rayla;Rayla
credits_raynard;Raynard
credits_recording_engineer;Recording Engineer
credits_recruiter;Recruiter
credits_recruitment;Recruitment
credits_recruitment_assistant;Recruitment asszisztens
credits_recruitment_manager;Recruitment menedzser
credits_recruitment_specialist;Recruitment specialista
credits_red_family;Red Family
credits_release_manager;Kiadáskezelô
credits_release_team;Release Team
credits_releases_and_promos_manager;Releases and Promos menedzser
credits_releases_promos_manager;Releases and Promos menedzser
credits_reviewer;Reviewer
credits_rigger;Rigger
credits_rigging_and_technical_animation;Rigging and Technical Animation
credits_rigging_intern;Rigging Intern
credits_russian;Orosz
credits_russian_localization;Russian Localization
credits_russian_voiceovers;Russian Voiceovers
credits_sales_&_marketing_manager;Sales & Marketing menedzser
credits_saz;Saz
credits_screenshot_artist;Screenshot mûvész
credits_second_audio_engineer;Second Audio Engineer
credits_senior_3d_artist;Senior 3D mûvész
credits_senior_ai_programmer;Senior AI Programmer
credits_senior_animator;Senior Animator
credits_senior_artist;Senior mûvész
credits_senior_audio_designer;Senior Audio Designer
credits_senior_automated_test_programmer;Senior Automated Tests Programmer
credits_senior_backend_developer;Senior Backend fejlesztô
credits_senior_business_systems_specialist;Senior Business Systems specialista
credits_senior_business_travel_specialist;Senior Business Travel specialista
credits_senior_character_artist;Senior Character mûvész
credits_senior_cinematic_animator;Senior Cinematic Animator
credits_senior_communication_manager;Senior Communication menedzser
credits_senior_communication_manager_china;Senior Communication menedzser China
credits_senior_community_manager;Senior közösség menedzser
credits_senior_compensation_and_benefits_specialist;Senior Compensation and Benefits specialista
credits_senior_concept_artist;Senior Concept mûvész
credits_senior_copywriter;Senior Copywriter
credits_senior_cplus_developer;Senior C++ fejlesztô
credits_senior_cplus_seveloper;Senior C# fejlesztô
credits_senior_data_analyst;Senior Data elemzô
credits_senior_employment_specialist;Senior Employment specialista
credits_senior_english_adaptation_specialist;Senior English Adaptation specialista
credits_senior_environment_artist;Senior Environment mûvész
credits_senior_event_manager;Senior Event menedzser
credits_senior_finance_specialist;Senior Finance specialista
credits_senior_game_data_analyst;Senior Game Data elemzô
credits_senior_game_data_analyst_coordinator;Senior Game Data elemzô/koordinátor
credits_senior_global_marketing_manager;Senior Global Marketing menedzser
credits_senior_graphic_designer;Senior Graphic Designer
credits_senior_it_administrator;Senior IT Administrator
credits_senior_it_system_administration_coordinator;Senior IT System Administration koordinátor
credits_senior_it_system_administrator;Senior IT System Administrator
credits_senior_jira_administrator;Senior Jira Administrator
credits_senior_legal_specialist;Senior Legal specialista
credits_senior_localization_producer;Senior Localization Producer
credits_senior_localization_project_manager;Senior Localization Project menedzser
credits_senior_martketing_illustrator;Senior Martketing Illustrator
credits_senior_motion_designer;Senior Motion Designer
credits_senior_network_programmer;Senior Network Programmer
credits_senior_network_programmers_coordinator;Senior Network Programmers koordinátor
credits_senior_online_marketing_manager;Senior Online Marketing menedzser
credits_senior_payroll_specialist_acting_lead;Senior Payroll specialista/ ügyvezetô
credits_senior_pipeline_and_tools_programmer;Senior Pipeline & Tools Programmer
credits_senior_post_coordinator;Senior Post koordinátor
credits_senior_pr_manager;Senior PR menedzser
credits_senior_pre_production_analyst;Senior Pre-production elemzô
credits_senior_producer;Senior Producer
credits_senior_programmer;Senior Programmer
credits_senior_project_manger;Senior Project Manger
credits_senior_promo_3d_artist;Senior Promo 3D mûvész
credits_senior_promo_artist;Senior Promo mûvész
credits_senior_qa_analyst;Senior minôségbiztosítás elemzô
credits_senior_recruiter;Senior Recruiter
credits_senior_release_manger;Senior kiadáskezelô
credits_senior_software_architect;Senior Software Architect
credits_senior_software_engineer;Senior Software Engineer
credits_senior_software_engineer_backend;Senior Software Engineer Backend
credits_senior_software_engineer_client;Senior Software Engineer Client
credits_senior_software_engineer_sdk;Senior Software Engineer SDK
credits_senior_sound_designer;Senior Sound Designer
credits_senior_technical_artist;Senior Technical mûvész
credits_senior_technical_qa_analyst;Senior Technical minôségbiztosítás elemzô
credits_senior_technical_support_engineer;Senior Technical Support Engineer
credits_senior_technical_support_specialist;Senior Technical Support specialista
credits_senior_training_specialist;Senior Training specialista
credits_senior_ui_artist;Senior UI mûvész
credits_senior_ui_ux_designer;Senior UI/UX Designer
credits_senior_user_acquisition_manager;Senior User Acquisition menedzser
credits_senior_vfx_artist;Senior VFX mûvész
credits_senior_video_creative_producer;Senior Video Creative Producer
credits_senior_video_editor;Senior Video Editor
credits_senior_vo_director;Senior VO Director
credits_senior_writer;Senior Writer
credits_simplified_chinese_localization;Simplified Chinese Localization
credits_simplified_chinese_voiceovers;Simplified Chinese Voiceovers
credits_software_architect;Software Architect
credits_software_client;Software Engineer - Client
credits_software_engineer;Software Engineer
credits_software_engineer_backend;Software Engineer - Backend
credits_software_engineer_client;Software Engineer Client
credits_software_engineer_frontend;Software Engineer - Frontend
credits_software_engineer_network;Software Engineer - Network
credits_software_engineer_sdk;Software Engineer - SDK
credits_software_engineer_ui;Software Engineer - UI
credits_sound_design_coordinator;Sound Design koordinátor
credits_sound_design_lead;Sound Design Lead
credits_sound_designer;Sound Designer
credits_sound_engineer;Sound Engineer
credits_spanish;Spanyol
credits_spanish_localization;Spanish Localization
credits_spanish_voiceovers;Spanish Voiceovers
credits_special_message;Special message / other
credits_special_thanks_gwent;Special Thanks Gwent
credits_store_director;Store Director
credits_story;Történet
credits_supervisor;Supervisor
credits_support_team;Support Team
credits_support_team_leader;Support csoportvezetô
credits_svp_of_biz_development;SVP of Business Development
credits_svp_of_bizdev_and_operations;SVP of Bizdev and Operations
credits_system_development_lead;System Development Lead
credits_tax_manager;Tax menedzser
credits_taxes;Adózás
credits_team_lead;Csoportvezetô
credits_tech_and_pipeline_programming;Tech and Pipeline Programming
credits_tech_producer;Tech Producer
credits_tech_programmer;Tech Programmer
credits_tech_programmers_coordinator;Tech Programmers koordinátor
credits_tech_qa_analyst;Tech minôségbiztosítás elemzô
credits_technical_art;Technical Art
credits_technical_art_lead;Technical Art Lead
credits_technical_artist;Technical mûvész
credits_technical_artist_coordinator;Technical Artist koordinátor
credits_technical_artists_and_vfx_coordinator;Technical mûvészek and VFX koordinátor
credits_technical_artists_and_vfx_lead;Technical mûvészek and VFX Lead
credits_technical_audio_designer;Technical Audio Designer
credits_technical_customer_support_representative;Technical Customer Support Representative
credits_technical_customer_support_supervisor;Technical Customer Support Supervisor
credits_technical_department_manager;Technical Department menedzser
credits_technical_director;Technical Director
credits_technical_qa_analyst;Technical minôségbiztosítás elemzôk
credits_technical_support;TECHNICAL SUPPORT
credits_technical_support_associate;Technical Support Associate
credits_technical_support_engineer;Technical Support Engineer
credits_technical_support_lead;Technical Support Lead
credits_technical_support_specialist;Technical Support specialista
credits_technical_writer;Technical Writer
credits_territory_manager;Territory menedzser
credits_test;teszt
credits_tester;Tesztelô
credits_thronebreaker;TRÓNBITORLÓ: EGY VAJÁK-TÖRTÉNET
credits_thronebreaker_a_witcher_tales;ANDRZEJ SAPKOWSKI ELBESZÉLÉSEI NYOMÁN
credits_tools_programmer;Tools Programmer
credits_traditional_chinese_localization;Traditional Chinese Localization
credits_traditional_chinese_voiceovers;Traditional Chinese Voiceovers
credits_training_manager;Training menedzser
credits_training_specialist;Training specialista
credits_trainings;Trainings
credits_transfer_pricing_specialist;Transfer Pricing specialista
credits_translation_coordinator;Translation koordinátor
credits_translator;Fordító
credits_translators;Fordítók
credits_ui;Kezelôfelület
credits_ui_artist;Kezelôfelület mûvész
credits_ui_artist_coordinator;Kezelôfelület mûvész koordinátor
credits_ui_product_owner;Kezelôfelület terméktulajdonos
credits_ui_programmer;Kezelôfelület programozó
credits_ui_programmers_coordinator;Kezelôfelület programozó koordinátor
credits_ui_programming;Kezelôfelület programozás
credits_ui_qa_analyst;Kezelôfelület minôségbiztosítási elemzô
credits_unity_programmer;Unity programozó
credits_user_acquisition_manager;User Acquisition menedzser
credits_ux/ui_artist;UX/UI mûvész
credits_ux__ui_artist;UX  / UI mûvész
credits_value_added_tax_specialist;Value Added Tax specialista
credits_vfx;VFX
credits_vfx_acting_lead;VFX ügyvezetô
credits_vfx_artist;VFX mûvész
credits_vfx_lead_artist;VFX Lead mûvész
credits_video_creative_producer;Video Creative Producer
credits_video_editor_motion_designer;Video Editor / Motion Designer
credits_video_team_lead;Video csoportvezetô
credits_villem;Villem
credits_viola;Viola
credits_viola_da_gamba;Viola da Gamba
credits_violin;Hegedû
credits_vocals;Ének
credits_voice_director;Voice Director
credits_voice_editing;Voice Editing
credits_voice_over_recording_and_translation;VOICE OVER RECORDING AND TRANSLATION
credits_vp_of_global_marketing;VP of Global Marketing
credits_vp_pr_and_marketing_china;VP PR & Marketing - China
credits_web_developer;Web fejlesztô
credits_web_developer_lead;Web fejlesztô Lead
credits_web_development_team;Can Expect - Web Development Team
credits_web_intern;Web Intern
credits_web_team_leader;Web csoportvezetô
credits_work_permit_and_residence_legalisation_specialist;Work Permit and Residence Legalisation specialista
credits_work_permit_and_residence_legalization_specialist;Work Permit and Residence Legalization specialista
credits_writer;Író
credtis_localization_release_operations;Localization & Release Operations asszisztens

